date,price,ret,sigma,regime
01/01/2018,99.34503017,-0.006549698,0.007071068,normal
02/01/2018,99.459637,0.001153624,0.007050487,normal
03/01/2018,99.16675095,-0.002944773,0.006767968,normal
04/01/2018,99.01411713,-0.001539163,0.006560298,normal
05/01/2018,99.84747769,0.008416583,0.006323511,normal
08/01/2018,99.92224778,0.000748843,0.006503317,normal
09/01/2018,99.793495,-0.00128853,0.006251773,normal
10/01/2018,100.1039698,0.003111173,0.006030162,normal
11/01/2018,100.530209,0.004257965,0.005863848,normal
12/01/2018,101.0355949,0.005027204,0.005764823,normal
15/01/2018,100.7805119,-0.002524685,0.005721457,normal
16/01/2018,99.62229913,-0.011492428,0.005574371,normal
17/01/2018,99.94286762,0.003217839,0.00633245,normal
18/01/2018,99.8407024,-0.001022236,0.00614799,normal
19/01/2018,100.6371815,0.007977499,0.005928337,normal
22/01/2018,100.3146194,-0.003205199,0.006114198,normal
23/01/2018,101.8557402,0.015362873,0.005966273,normal
24/01/2018,101.8975277,0.000410262,0.007145341,normal
25/01/2018,101.570125,-0.003213058,0.006852202,normal
26/01/2018,100.7815931,-0.007763424,0.006649293,normal
29/01/2018,100.4209319,-0.003578641,0.006778834,normal
30/01/2018,100.0009598,-0.004182118,0.006597473,normal
31/01/2018,100.336181,0.00335218,0.006460902,normal
01/02/2018,100.4702313,0.001336012,0.006272316,normal
02/02/2018,100.6408539,0.001698241,0.006041856,normal
05/02/2018,101.606126,0.009591254,0.005832997,normal
06/02/2018,101.6826917,0.000753554,0.006209007,normal
07/02/2018,101.4478201,-0.002309848,0.005976439,normal
08/02/2018,101.3291999,-0.001169273,0.005802283,normal
09/02/2018,100.8208416,-0.005016899,0.005608783,normal
12/02/2018,100.8163778,-4.43E-05,0.005615374,normal
13/02/2018,101.0792132,0.002607071,0.005420845,normal
14/02/2018,100.4829992,-0.005898483,0.005281542,normal
15/02/2018,100.8127379,0.003281537,0.005397685,normal
16/02/2018,101.6812879,0.008615478,0.005287711,normal
19/02/2018,101.5801399,-0.000994755,0.005632849,normal
20/02/2018,102.4609979,0.008671557,0.005447732,normal
21/02/2018,103.8314246,0.013375106,0.005774906,normal
22/02/2018,101.8485756,-0.019096811,0.006680969,normal
23/02/2018,101.5903476,-0.00253541,0.00846481,normal
26/02/2018,101.8013105,0.002076604,0.008130469,normal
27/02/2018,101.6858281,-0.00113439,0.007795117,normal
28/02/2018,101.5391413,-0.001442549,0.007472503,normal
01/03/2018,101.659498,0.001185323,0.007175006,normal
02/03/2018,101.4602139,-0.001960309,0.006885079,normal
05/03/2018,102.5559954,0.01080011,0.006637108,normal
06/03/2018,102.9098938,0.003450782,0.007033704,normal
07/03/2018,102.7956236,-0.001110392,0.006807962,normal
08/03/2018,102.9171106,0.001181831,0.006546688,normal
09/03/2018,103.473723,0.005408356,0.006296376,normal
12/03/2018,103.7391202,0.002564875,0.006229479,normal
13/03/2018,103.3320802,-0.003923689,0.006029731,normal
14/03/2018,102.8507582,-0.004658011,0.005925595,normal
15/03/2018,103.0515564,0.001952325,0.005876027,normal
16/03/2018,102.0360019,-0.00985482,0.005684143,normal
19/03/2018,102.0141077,-0.000214573,0.006189266,normal
20/03/2018,102.1385488,0.001219842,0.005957576,normal
21/03/2018,102.2456586,0.001048671,0.00574634,normal
22/03/2018,102.4949032,0.002437704,0.00554715,normal
23/03/2018,103.1524143,0.006415061,0.00539257,normal
26/03/2018,103.1218807,-0.000296005,0.005495817,normal
27/03/2018,103.1748152,0.000513319,0.005310972,normal
28/03/2018,102.1696301,-0.009742543,0.005137299,normal
29/03/2018,102.0093709,-0.00156856,0.005726969,normal
30/03/2018,102.2317576,0.002180062,0.005547957,normal
02/04/2018,101.8402054,-0.003830045,0.005385426,normal
03/04/2018,101.7553833,-0.000832894,0.005332101,normal
04/04/2018,100.7466669,-0.00991315,0.005165268,normal
05/04/2018,100.6070548,-0.001385774,0.005773764,normal
06/04/2018,101.3004839,0.00689245,0.005586942,normal
09/04/2018,100.4706452,-0.008191854,0.005710502,normal
10/04/2018,100.7155531,0.002437607,0.006006627,normal
11/04/2018,101.0952758,0.003770249,0.005818728,normal
